gsno,lid,lat,lon,elev
12415500,COEI1,47.66528,116.77028,2160.0
10392500,STRO3,44.265,119.02111,5300.0
13132565,BLSI1,43.723333,112.875,4805.0
13046000,HFAI1,44.06667,111.51667,5090.0
12142000,SNQW1,47.616667,121.716667,1130.0
12019310,CPLW1,46.5453,123.2981,432.0
13092747,TFAI1,42.5625,114.495,3630.0
14161100,BRTO3,44.21667,122.26667,1385.0
14187000,WNFO3,44.37222,122.62222,920.0
13240000,LFPI1,44.9136111111,115.997222222,5140.0
13309220,MIDI1,44.721667,115.016389,4480.0
12147470,TNFW1,47.7197,121.7432,1125.0
13330300,LSRO3,45.53722,117.47861,3050.0
14180300,DEQO3,44.653056,122.129444,1840.0
14378200,AGSO3,42.52083,124.04306,200.0
13108150,HAGI1,42.696389,114.855278,2891.0
12024400,NFFW1,46.667222,122.752222,400.0
13210280,BCXI1,43.459167,116.094722,3300.0
13152500,MLDI1,42.886667,114.802222,3373.0
14016000,DCHW1,46.133333,118.371111,832.0
14362000,APPO3,42.06667,123.11667,1748.0
14033500,UMAO3,45.90306,119.32583,330.0
13273000,UNYO3,44.50389,118.17639,3758.0
13215000,WARO3,43.570833,118.201389,3305.0
13058529,WFWI1,43.583333,112.05,4740.0
13058530,WILI1,43.576389,111.913056,4840.0
12414900,SATI1,47.27472,116.18806,2172.0
13057940,WTXI1,43.441944,111.72833,5200.0
13015000,GVZW4,43.5572,110.76277,6260.0
13041010,HCFI1,44.48333,111.39361,6310.0
13046995,FAYI1,44.0619,111.1519,5780.0
12120000,MRCW1,47.60306,122.17972,36.0
12409000,KTFW1,48.6,118.06667,1400.0
14095500,WSSO3,44.969444,121.476389,2534.0
14187200,SSFO3,44.4125,122.6875,530.0
14220500,MERW1,45.950556,122.564167,440.0
13213100,SNYI1,43.8761,116.982,2178.0
14185000,SSCO3,44.39194,122.49639,775.0
14105700,TDAO3,45.6075,121.1722,80.0
12324590,LBFM8,46.51972,112.7925,4344.0
14316500,NUMO3,43.29583,122.53611,1580.0
